FID,OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,Shape_STAr,Shape_STLe,ShapeSTAre,ShapeSTLen,PARK_ID,REGION,TC_ID,Shape_Leng,OBJECTID_1,TC_ID_1,VALUE_0,TC_E_A,TC_Pv_A,TC_Land_A,TC_Pi_A,TC_P_A,TC_E_P,TC_Pv_P,TC_P_P,TC_Pi_P,OBJECTID_2,TC_ID_12,Total_A,Can_A,Grass_A,Soil_A,Water_A,Build_A,Road_A,Paved_A,Perv_A,Imperv_A,Can_P,Grass_P,Soil_P,Water_P,Build_P,Road_P,Paved_P,Perv_P,Imperv_P,Shape__Area,Shape__Length
110,7921,Festa Field,Massport, ,3,East Boston,0.99445051,"80 Paris St, East Boston, MA",Special District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , , ,0,0,43319.03442,841.56981, ,INFO_Reallocation From Dept,7921,841.5698101,103,7921,0,3013,32301,43211,7812,40113,6.972761565,74.75179931,92.83052926,18.07872995,103,7921,43211,3013,32301,5070,0,85,0,2742,40384,2827,6.972761565,74.75179931,11.73312351,0,0.196709171,0,6.345606443,93.45768439,6.542315614,43319.03467,841.56981
111,7922,Eagle Hill Memorial Park Garden,BNAN_TTOR,Land Trust,5,East Boston,0.15315481,"100 Trenton St, East Boston, MA",Residential District,Community Gardens,NULL, ,N, , , ,0,0,6671.541992,326.935205, ,INFO_Reallocation From Dept,7922,326.9352051,104,7922,0,301,4451,6675,1497,5948,4.509363296,66.68164794,89.10861423,22.42696629,104,7922,6675,301,4451,0,0,426,0,1497,4752,1923,4.509363296,66.68164794,0,0,6.382022472,0,22.42696629,71.19101124,28.80898876,6671.54248,326.9352051
112,7923,East Boston Greenway,City of Boston,A97/WPA,2,East Boston,2.61096403,"144 Marginal St, Boston, MA",Residential District,"Parkways, Reservations & Beaches",BPRD, ,X,X, , ,0,0,152528.7354,5457.495376,97,PARK_Maintenance_Region 1,7923,5457.495376,105,7923,2,69822,27779,152521,47684,75463,45.77861409,18.21322965,49.47712118,31.26389153,105,7923,152521,69822,27779,816,0,428,6808,46868,98417,54104,45.77861409,18.21322965,0.535008294,0,0.280617095,4.463647629,30.72888324,64.52685204,35.47314796,152528.7366,5457.495376
113,7924,Dom Savio Athletic Field,Private, ,3,East Boston,3.11070765,"100 Savio St, East Boston, MA",Residential District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , , ,0,0,135504.8345,1801.65083, ,INFO_Reallocation From Dept,7924,1801.650829,106,7924,0,16420,115039,135498,3443,118482,12.11826005,84.90088415,87.44188106,2.540996915,106,7924,135498,16420,115039,0,0,273,323,3443,131459,4039,12.11826005,84.90088415,0,0,0.201478989,0.238379902,2.540996915,97.01914419,2.980855806,135504.8347,1801.650829
114,7925,Fenway Park Field,Private, ,3,Fenway/Kenmore,2.78,"4 Jersey St, Boston, MA",Industrial District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, ,Baseball Field at Fenway Park, ,0,0,121268.3379,1376.706451, ,INFO_Reallocation From Dept,7925,1376.706451,107,7925,0,0,106349,121269,13819,120168,0,87.69677329,99.09210103,11.39532774,107,7925,121269,0,106349,13423,0,1101,0,396,119772,1497,0,87.69677329,11.06878097,0,0.907898968,0,0.326546768,98.76555426,1.234445736,121268.3389,1376.70645
115,7926,Symphony Community Park,City of Boston,A97,3,Fenway/Kenmore,0.49679593,"39 Edgerly Rd, Boston, MA",Commercial/Office/Business District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Morville Park, ,0,0,20803.84131,777.0794679,298,PARK_Maintenance_Region 3,7926,777.0794678,108,7926,0,12363,5544,20814,2792,8336,59.3975209,26.63591813,40.04996637,13.41404824,108,7926,20814,12363,5544,0,0,115,0,2792,17907,2907,59.3975209,26.63591813,0,0,0.552512732,0,13.41404824,86.03343903,13.96656097,20803.84155,777.0794678
116,7927,Edgerly Road Playground,City of Boston,A97,3,Fenway/Kenmore,0.1081164,"6 Edgerly Road, Boston, MA",Special District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,5366.225586,301.1043834,99,PARK_Maintenance_Region 3,7927,301.1043834,109,7927,0,1265,0,5363,3586,3586,23.58754428,0,66.86556032,66.86556032,109,7927,5363,1265,0,0,0,0,512,3586,1265,4098,23.58754428,0,0,0,0,9.546895394,66.86556032,23.58754428,76.41245572,5366.225586,301.1043834
117,7928,Symphony Road Garden,BNAN_TTOR,Land Trust,5,Fenway/Kenmore,0.29788615,"300 Symphony Rd., Boston, MA",Residential District,Community Gardens,NULL, ,N, , , ,0,0,12976.15161,492.4931046, ,INFO_Reallocation From Dept,7928,492.4931045,110,7928,0,2232,6569,12970,1638,8207,17.20894372,50.64764842,63.2767926,12.62914418,110,7928,12970,2232,6569,0,0,0,2531,1638,8801,4169,17.20894372,50.64764842,0,0,0,19.51426369,12.62914418,67.85659214,32.14340786,12976.15137,492.4931045
118,7929,Wentworth Field,Private, ,3,Fenway/Kenmore,2.98150699,"550 Parker St, Boston, MA",Institutional District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , , ,0,0,129876.7532,1603.724621, ,INFO_Reallocation From Dept,7929,1603.724621,111,7929,1,15930,12378,129898,99134,111512,12.26346826,9.529015073,85.84581749,76.31680241,111,7929,129898,15930,12378,0,0,2456,0,99134,28308,101590,12.26346826,9.529015073,0,0,1.890714253,0,76.31680241,21.79248333,78.20751667,129876.7529,1603.724621
119,7930,Oscar Tugo Circle,City of Boston, ,1,Fenway/Kenmore,0.05755321,"30 Gladstone St, Boston, MA",Residential District,"Malls, Squares & Plazas",NULL, ,N,X, , ,0,0,2507.058105,195.253336, ,PARK_Maintenance_Ground Maintenance,7930,195.2533361,112,7930,0,2008,470,2496,18,488,80.44871795,18.83012821,19.55128205,0.721153846,112,7930,2496,2008,470,0,0,0,0,18,2478,18,80.44871795,18.83012821,0,0,0,0,0.721153846,99.27884615,0.721153846,2507.058105,195.2533361
120,7931,Commonwealth Avenue Mall II,City of Boston,A97,1,Fenway/Kenmore,0.98,"484 Commonwealth Ave, Boston, MA",Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Commonwealth Ave Mall (west of Charlesgate),BPRD,0,0,42294.28345,1209.055907,63,PARK_Maintenance_Region 1,7931,1209.055907,113,7931,0,25161,10204,42293,4294,14498,59.49211453,24.12692408,34.27990448,10.1529804,113,7931,42293,25161,10204,0,0,0,2634,4294,35365,6928,59.49211453,24.12692408,0,0,0,6.22798099,10.1529804,83.61903861,16.38096139,42294.2832,1209.055907
121,7932,Stony Brook Sewer Easement,Private,Sewer Easement,1,Fenway/Kenmore,0.28868284,"70 Boylston St, Jamaica Plain, MA",Residential District,"Malls, Squares & Plazas",NULL,Private,N,X,Forsyth School Path,BWSC,0,0,13623.46143,557.0197127, ,INFO_Reallocation From Dept,7932,557.0197127,114,7932,0,10240,2100,13623,1132,3232,75.16699699,15.4151068,23.72458343,8.30947662,114,7932,13623,10240,2100,0,0,142,9,1132,12340,1283,75.16699699,15.4151068,0,0,1.042354841,0.066064743,8.30947662,90.5821038,9.417896205,13623.46191,557.0197127
122,7933,Harry Ellis Dickson Park,City of Boston, ,1,Fenway/Kenmore,0.08351658,"120 Blue Hill Ave., Roxbury, MA",Commercial/Office/Business District,"Malls, Squares & Plazas",NULL, ,N,X, ,PWD,0,0,3649.333252,292.355414, ,PARK_Maintenance_Ground Maintenance,7933,292.355414,115,7933,0,1815,0,3652,1837,1837,49.69879518,0,50.30120482,50.30120482,115,7933,3652,1815,0,0,0,0,0,1837,1815,1837,49.69879518,0,0,0,0,0,50.30120482,49.69879518,50.30120482,3649.333008,292.355414
123,7950,Connell Fields/Hickey Courts,Commonwealth of Massachusetts,A97,3,Hyde Park,4.1483742,"2000 Dorchester Ave., Dorchester, MA",Residential District,"Parks, Playgrounds & Athletic Fields",DCR, ,X,X,Smith Pond Playground, ,0,0,731043.5386,3936.998764, ,INFO_Reallocation From Dept,7950,3936.998764,124,7950,0,253305,422598,731101,49001,471599,34.64705971,57.80295746,64.50531459,6.70235713,124,7950,731101,253305,422598,23516,0,1943,4254,25485,699419,31682,34.64705971,57.80295746,3.216518648,0,0.265763554,0.58186215,3.485838482,95.66653581,4.333464186,731043.5388,3936.998764
124,7951,Weider Park,Commonwealth of Massachusetts,A97,3,Hyde Park,6.91931115,"300 Gallivan Blvd., Dorchester, MA",Residential District,"Parks, Playgrounds & Athletic Fields",DCR, ,X,X,Sherrin&Dale St., ,0,0,299833.9475,2275.150575, ,INFO_Reallocation From Dept,7951,2275.150575,125,7951,0,252485,24854,299835,22324,47178,84.20798106,8.289225741,15.73465406,7.445428319,125,7951,299835,252485,24854,0,0,0,172,22324,277339,22496,84.20798106,8.289225741,0,0,0,0.057364884,7.445428319,92.4972068,7.502793203,299833.9482,2275.150575
125,7952,Monterey Hilltop I,City of Boston,A97,6,Hyde Park,4.12374269,"100 Monterey Dr., Dorchester, MA",Residential District,Urban Wilds & Natural Areas,BCC,BPRD,X,X,Beechmont Footpath,BCC,0,0,182255.6458,2694.471146, ,PARK_Maintenance_Region 4,7952,2694.471146,126,7952,0,176438,5200,182261,70,5270,96.8051311,2.853051393,2.891457854,0.038406461,126,7952,182261,176438,5200,0,0,0,553,70,181638,623,96.8051311,2.853051393,0,0,0,0.303411042,0.038406461,99.6581825,0.341817503,182255.6443,2694.471146
126,7953,Monterey Hilltop II,Private, ,6,Hyde Park,0.10408992,"150 Monterey Dr., Dorchester, MA",Residential District,Urban Wilds & Natural Areas,NULL, ,N, , , ,0,0,4961.452881,459.1980072, ,INFO_Reallocation From Dept,7953,459.1980072,127,7953,0,4948,0,4948,0,0,100,0,0,0,127,7953,4948,4948,0,0,0,0,0,0,4948,0,100,0,0,0,0,0,0,100,0,4961.452637,459.1980072
127,7954,Sherrin Woods I,City of Boston,LWCF/A97/WPA,6,Hyde Park,23.81339751,"45 Sherrin St, Dorchester, MA",Residential District,Urban Wilds & Natural Areas,BCC,BPRD,X,X, , ,0,0,1043137.413,5549.270606, ,PARK_Maintenance_Ground Maintenance,7954,5549.270605,128,7954,2,961221,72633,1043131,8197,80830,92.14767848,6.962979722,7.748787065,0.785807343,128,7954,1043131,961221,72633,0,0,0,1080,8197,1033854,9277,92.14767848,6.962979722,0,0,0,0.103534455,0.785807343,99.1106582,0.889341799,1043137.413,5549.270605
128,7955,Oak Lawn Cemetery,Private, ,4,Hyde Park,10.40684866,"300 Oak Lawn Ave., Roslindale, MA",Commercial/Office/Business District,Cemeteries & Burying Grounds,NULL, ,N, , , ,0,0,264782.5266,2409.177623, ,INFO_Reallocation From Dept,7955,2409.177623,129,7955,0,95470,117028,264776,47258,164286,36.05689337,44.19886999,62.0471644,17.84829441,129,7955,264776,95470,117028,18526,0,1822,3198,28732,231024,33752,36.05689337,44.19886999,6.996857721,0,0.688128833,1.207813397,10.85143669,87.25262108,12.74737892,264782.5288,2409.177623
129,7956,Doyle Playground,Commonwealth of Massachusetts,A97,3,Hyde Park,0.94486646,"80 Doyle St, Jamaica Plain, MA",Residential District,"Parks, Playgrounds & Athletic Fields",DCR, ,X,X, , ,0,0,41159.11523,1303.270732, ,INFO_Reallocation From Dept,7956,1303.270732,130,7956,0,23012,8512,41164,9588,18100,55.9032164,20.67826256,43.97045962,23.29219707,130,7956,41164,23012,8512,3487,0,52,0,6101,35011,6153,55.9032164,20.67826256,8.470994072,0,0.126323972,0,14.82120299,85.05247303,14.94752697,41159.11499,1303.270732
130,7957,Match Charter School Campus,Private,WPA,7,Hyde Park,1.14,"50 Poydras Street, Boston, MA",Industrial District,"Parks, Playgrounds & Athletic Fields",NULL,Private,N, , , ,0,0,49302.12988,1826.947225, ,INFO_Reallocation From Dept,7957,1826.947537,131,7957,0,5161,20609,49281,20796,41405,10.47259593,41.81936243,84.01818145,42.19881902,131,7957,49281,5161,20609,547,0,2715,0,20249,26317,22964,10.47259593,41.81936243,1.109961243,0,5.509222621,0,41.08885777,53.4019196,46.5980804,49302.10938,1826.947537
131,7958,West Street,City of Boston,A97,6,Hyde Park,2.53280629,"120 West St, Hyde Park, MA",Industrial District,Urban Wilds & Natural Areas,BCC,BPRD,X,X, , ,0,0,109132.3508,1403.209273, ,PARK_Maintenance_Ground Maintenance,7958,1403.209273,132,7958,0,98489,10417,109136,80,10497,90.24428236,9.544971412,9.618274447,0.073303035,132,7958,109136,98489,10417,0,0,0,150,80,108906,230,90.24428236,9.544971412,0,0,0,0.13744319,0.073303035,99.78925378,0.210746225,109132.3499,1403.209273
132,7959,Dell Rock I,City of Boston,A97,6,Hyde Park,1.3,"60 Dell Ave., Hyde Park, MA",Residential District,Urban Wilds & Natural Areas,BPRD,BPRD,X,X, ,BPRD,0,0,56817.29761,1085.065951,84,PARK_Maintenance_Ground Maintenance,7959,1085.065951,133,7959,0,41917,14601,56808,194,14795,73.78714266,25.70236586,26.04386706,0.341501197,133,7959,56808,41917,14601,0,0,15,81,194,56518,290,73.78714266,25.70236586,0,0,0.026404732,0.142585551,0.341501197,99.48950852,0.51049148,56817.29663,1085.065951
133,7960,Amatucci Playground,City of Boston,A97,3,Hyde Park,0.44867941,"1661 Hyde Park Ave., Boston, MA",Commercial/Office/Business District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,20293.19995,613.118107,7,PARK_Maintenance_Region 4,7960,613.118107,134,7960,0,8766,7456,20295,4047,11503,43.19290466,36.73811284,56.67898497,19.94087214,134,7960,20295,8766,7456,0,0,0,26,4047,16222,4073,43.19290466,36.73811284,0,0,0,0.128110372,19.94087214,79.93101749,20.06898251,20293.19946,613.118107
134,7961,Moynihan Playground,Commonwealth of Massachusetts,A97,3,Hyde Park,7.18571325,"100 Moynihan Rd., Dorchester, MA",Residential District,"Parks, Playgrounds & Athletic Fields",DCR, ,X,X, , ,0,0,313015.2344,2601.677609, ,INFO_Reallocation From Dept,7961,2601.677609,135,7961,0,209786,67408,313040,31495,98903,67.01571684,21.53335037,31.59436494,10.06101457,135,7961,313040,209786,67408,11922,0,0,4351,19573,289116,23924,67.01571684,21.53335037,3.808458983,0,0,1.389918221,6.252555584,92.35752619,7.642473805,313015.2349,2601.677609
135,7962,Iacono/Readville Playground,City of Boston,A97,3,Hyde Park,4.91402344,"159 Readville St, Boston, MA",Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,214058.6667,2079.802464,160,PARK_Maintenance_Region 4,7962,2079.802464,136,7962,0,65816,102412,214060,44629,147041,30.74651967,47.84266094,68.69148837,20.84882743,136,7962,214060,65816,102412,10669,0,1069,134,33960,178897,35163,30.74651967,47.84266094,4.984116603,0,0.499392694,0.062599271,15.86471083,83.57329721,16.42670279,214058.6665,2079.802464
136,7963,Camp Meigs,Commonwealth of Massachusetts,A97/ACEC,3,Hyde Park,2.86583949,"200 Camp Meigs Rd., Hyde Park, MA",Residential District,"Parks, Playgrounds & Athletic Fields",DCR, ,X,X, , ,0,0,124838.1885,1506.556423, ,INFO_Reallocation From Dept,7963,1506.556423,137,7963,0,58545,44752,124838,20984,65736,46.89677822,35.84805908,52.65704353,16.80898444,137,7963,124838,58545,44752,4096,0,0,557,16888,107393,17445,46.89677822,35.84805908,3.281052244,0,0,0.446178247,13.5279322,86.02588955,13.97411045,124838.189,1506.556423
137,7964,Jeremiah Hurley Memorial Park,City of Boston,A97,1,Hyde Park,0.07,"0 Wolcott Square, Boston, MA",Commercial/Office/Business District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Wolcott Square,BPRD,0,0,3178.468994,251.5825715,166,PARK_Maintenance_Ground Maintenance,7964,251.5825715,138,7964,0,997,1810,3180,373,2183,31.35220126,56.91823899,68.64779874,11.72955975,138,7964,3180,997,1810,0,0,0,0,373,2807,373,31.35220126,56.91823899,0,0,0,0,11.72955975,88.27044025,11.72955975,3178.46875,251.5825715
138,7965,Stony Brook Recreation Complex,Commonwealth of Massachusetts,A97,3,Hyde Park,27.39,"55 School St, Hyde Park, MA",Residential District,"Parks, Playgrounds & Athletic Fields",DCR, ,X,X,Kelly/Factory Hill (Lawler)/Bajko/Olsen, ,0,0,1193277.174,5359.043288, ,INFO_Reallocation From Dept,7965,5359.043288,139,7965,1,544397,377375,1193292,203673,581048,45.62144052,31.62469873,48.69285975,17.06816102,139,7965,1193292,544397,377375,34750,0,58835,9012,168923,956522,236770,45.62144052,31.62469873,2.91211204,0,4.930478039,0.755221689,14.15604898,80.15825129,19.84174871,1193277.174,5359.043288
139,7966,Williams Square,City of Boston,A97,1,Hyde Park,0.03805675,"131 Williams Ave., Boston, MA",Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X, ,BPRD,0,0,1657.781982,190.5413516,321,PARK_Maintenance_Ground Maintenance,7966,190.5413516,140,7966,0,0,1350,1655,150,1500,0,81.57099698,90.63444109,9.063444109,140,7966,1655,0,1350,0,0,0,155,150,1350,305,0,81.57099698,0,0,0,9.365558912,9.063444109,81.57099698,18.42900302,1657.782715,190.5413516
140,7967,Dana Avenue Urban Wild I,Commonwealth of Massachusetts,A97,6,Hyde Park,0.81968055,"30 Dana Ave., Hyde Park, MA",Industrial District,Urban Wilds & Natural Areas,DCR, ,X,X, , ,0,0,33855.78882,1276.893306, ,INFO_Reallocation From Dept,7967,1276.893306,141,7967,0,30994,133,31218,70,203,99.28246524,0.426036261,0.650265872,0.224229611,141,7967,33863,30994,133,0,2645,0,21,70,33772,91,91.52762602,0.392759059,0,7.810885037,0,0.062014588,0.206715294,99.73127012,0.268729882,33855.79004,1276.893306
141,7970,Mother Brook Reservation,Commonwealth of Massachusetts,A97,2,Hyde Park,30.39060995,"150 Mother Brook Ln., Hyde Park, MA",Residential District,"Parkways, Reservations & Beaches",DCR, ,X,X,Mill Pond Reservation, ,0,0,1323838.505,8917.915798, ,INFO_Reallocation From Dept,7970,8917.915798,142,7970,1,391247,197714,634492,29872,227586,61.66303121,31.16099179,35.86901017,4.708018383,142,7970,1323849,391247,197714,0,689357,1376,14283,29872,1278318,45531,29.5537482,14.93478486,0,52.07217742,0.103939347,1.078899482,2.256450698,96.56071047,3.439289526,1323838.502,8917.915798
142,7937,Green Island,Commonwealth of Massachusetts,A97/Ch91/WPA,6,Harbor Islands,1.74734212,"Green Island, Boston, MA",Commercial/Office/Business District,Urban Wilds & Natural Areas,DCR, ,X,X, , ,0,0,76115.57666,1091.095197, ,INFO_Reallocation From Dept,7937,1091.095197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76115.57642,1091.095197
143,7972,Mission Hill Playground,City of Boston,A97,3,Jamaica Plain,2.68681793,"60 Smith St, Boston, MA",Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Sheehy-Smith Playground, ,0,0,120257.5889,1560.424529,199,PARK_Maintenance_Region 3,7972,1560.424392,144,7972,2,31618,55255,120254,33330,88585,26.29268049,45.94857552,73.66490928,27.71633376,144,7972,120254,31618,55255,10064,0,33,18,23266,96937,23317,26.29268049,45.94857552,8.368952384,0,0.027441915,0.014968317,19.34738138,80.61020839,19.38979161,120257.5503,1560.424392
144,7973,Gibbons Playground,City of Boston,A97,3,Jamaica Plain,0.11,"10 Sewall St, Boston, MA",Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Delle Avenue Playground, ,0,0,4569.105469,285.6776347,133,PARK_Maintenance_Region 3,7973,285.6776346,145,7973,0,2162,142,4566,2063,2205,47.3499781,3.109943057,48.29172142,45.18177836,145,7973,4566,2162,142,0,0,194,5,2063,2304,2262,47.3499781,3.109943057,0,0,4.248795445,0.109505037,45.18177836,50.45992116,49.54007884,4569.105957,285.6776346
145,7974,Mozart Street Playground,City of Boston,A97,3,Jamaica Plain,0.8062696,"28 Mozart St, Boston, MA",Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Holland Plgd, ,0,0,35121.72852,768.1724628,209,PARK_Maintenance_Region 3,7974,768.1724628,146,7974,0,19630,2591,35116,12788,15379,55.90044424,7.378403007,43.79485135,36.41644834,146,7974,35116,19630,2591,644,0,0,107,12144,22865,12251,55.90044424,7.378403007,1.833921859,0,0,0.304704408,34.58252648,65.11276911,34.88723089,35121.72876,768.1724628
146,7975,Paul Gore/Beecher Street Garden,BNAN_TTOR,Land Trust,5,Jamaica Plain,0.50768117,"40 Beecher St, Boston, MA",Open Space District,Community Gardens,NULL, ,N, , , ,0,0,22114.98608,630.8370749, ,INFO_Reallocation From Dept,7975,630.8370749,147,7975,0,6348,15487,22111,249,15736,28.70969201,70.04206051,71.16819683,1.126136312,147,7975,22111,6348,15487,0,0,22,5,249,21835,276,28.70969201,70.04206051,0,0,0.099497987,0.022613179,1.126136312,98.75175252,1.248247479,22114.98535,630.8370748
147,7976,Beecher Street Play Area,City of Boston,A97,3,Jamaica Plain,0.1742426,"105 Paul Gore St, Boston, MA",Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,7590.142578,362.7745004,19,PARK_Maintenance_Region 3,7976,362.7745004,148,7976,0,4465,515,7590,2610,3125,58.82740448,6.785243742,41.17259552,34.38735178,148,7976,7590,4465,515,2536,0,0,0,74,7516,74,58.82740448,6.785243742,33.41238472,0,0,0,0.974967062,99.02503294,0.974967062,7590.142822,362.7745004
148,7978,Lawrence Farm,Private,AP/Ch61A (Part),6,Jamaica Plain,41.7049113,"100 Lawrence Farm Rd., Hyde Park, MA",Conservation Protection Subdistrict,Urban Wilds & Natural Areas,Trustees of Reservations,Private,X, ,Allandale Farm, ,0,0,1792884.033,6409.127426, ,INFO_Reallocation From Dept,7978,6409.127426,149,7978,251,1260974,446484,1792610,50132,496616,70.34290783,24.90692342,27.7035161,2.796592678,149,7978,1792610,1260974,446484,0,0,21969,13051,50132,1707458,85152,70.34290783,24.90692342,0,0,1.225531488,0.728044583,2.796592678,95.24983125,4.750168748,1792884.034,6409.127426
149,7979,Soldier's Monument,City of Boston,A97,1,Jamaica Plain,0.13268804,"80 Forbes St, Jamaica Plain, MA",Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,N, ,BPRD,0,0,5779.993652,344.4825199,341,PARK_Maintenance_Region 3,7979,344.4825199,150,7979,0,2823,1892,5779,1009,2901,48.84928188,32.73922824,50.19899637,17.45976813,150,7979,5779,2823,1892,0,0,0,55,1009,4715,1064,48.84928188,32.73922824,0,0,0,0.951721751,17.45976813,81.58851012,18.41148988,5779.994385,344.4825198
150,7980,Forbes Street Garden,BNAN_TTOR,Land Trust,5,Jamaica Plain,0.37078302,"150 Tobin Ct., Roxbury, MA",Residential District,Community Gardens,NULL, ,N, , , ,0,0,16151.59644,521.0428546, ,INFO_Reallocation From Dept,7980,521.0428546,151,7980,0,2249,12824,16107,711,13535,13.96287328,79.61755758,84.03178742,4.414229838,151,7980,16107,2249,12824,0,0,323,0,711,15073,1034,13.96287328,79.61755758,0,0,2.005339293,0,4.414229838,93.58043087,6.419569131,16151.5957,521.0428546
151,7981,Tobin Community Center Garden,City of Boston, ,5,Jamaica Plain,0.2966297,"144 McBride St, Boston, MA",Institutional District,Community Gardens,NULL, ,N, , , ,0,0,12921.41968,493.0239346, ,PARK_Maintenance_Ground Maintenance,7981,493.0239346,152,7981,0,7406,4370,12921,412,4782,57.31754508,33.82091169,37.00951939,3.188607693,152,7981,12921,7406,4370,0,0,733,0,412,11776,1145,57.31754508,33.82091169,0,0,5.672935531,0,3.188607693,91.13845678,8.861543224,12921.41919,493.0239346
152,7982,English H.S. Athletic Fields,City of Boston, ,3,Jamaica Plain,7.63320583,"60 Johnson St, Jamaica Plain, MA",Open Space District,"Parks, Playgrounds & Athletic Fields",NULL,BPRD,N,X, ,BPS,0,0,332508.3579,3592.43958,107,PARK_Maintenance_Region 3,7982,3592.43958,153,7982,1,50210,58286,332506,223843,282129,15.10047939,17.52930774,84.84929595,67.31998821,153,7982,332506,50210,58286,0,0,0,167,223843,108496,224010,15.10047939,17.52930774,0,0,0,0.050224658,67.31998821,32.62978713,67.37021287,332508.3562,3592.43958
153,7983,Johnson Park II,City of Boston,A97,3,Jamaica Plain,0.17063559,"45 Johnson St, Jamaica Plain, MA",Open Space District,"Parks, Playgrounds & Athletic Fields",NULL,DCR,N,X, , ,0,0,7433.016357,567.2906561, ,INFO_Reallocation From Dept,7983,567.2906561,154,7983,0,6091,604,7432,691,1295,81.95640474,8.127018299,17.42465016,9.297631862,154,7983,7432,6091,604,210,0,0,46,481,6905,527,81.95640474,8.127018299,2.825618945,0,0,0.618945102,6.472012917,92.90904198,7.090958019,7433.016602,567.2906561
154,7984,Johnson Park I,Commonwealth of Massachusetts,A97,3,Jamaica Plain,2.60085765,"100 Hellenic Ln., Brookline, MA",Open Space District,"Parks, Playgrounds & Athletic Fields",DCR, ,X,X, , ,0,0,113295.3738,1467.485404, ,INFO_Reallocation From Dept,7984,1467.485404,155,7984,0,49761,40284,113300,23197,63481,43.91968226,35.55516328,56.02912621,20.47396293,155,7984,113300,49761,40284,13862,0,58,0,9335,103907,9393,43.91968226,35.55516328,12.23477493,0,0.051191527,0,8.239187996,91.70962048,8.290379523,113295.3743,1467.485404
155,7985,Mahoney Square,City of Boston,A97,1,Jamaica Plain,0.06021515,"50 Hellenic Ln., Brookline, MA",Commercial/Office/Business District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,"Hyde Sq., Centre Square",BPRD,0,0,2623.016846,181.5562788,185,PARK_Maintenance_Region 3,7985,181.5562788,156,7985,0,1188,291,2622,413,704,45.30892449,11.09839817,26.84973303,15.75133486,156,7985,2622,1188,291,0,0,0,730,413,1479,1143,45.30892449,11.09839817,0,0,0,27.84134249,15.75133486,56.40732265,43.59267735,2623.019775,181.5562788
156,7986,Hellenic College Athletic Field,Private, ,3,Jamaica Plain,3.40660796,"30 Boynton St, Jamaica Plain, MA",Conservation Protection Subdistrict,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , , ,0,0,148394.481,1655.393823, ,INFO_Reallocation From Dept,7986,1655.393823,157,7986,256,29966,105857,148135,12135,117992,20.22884531,71.45981706,79.65166909,8.191852027,157,7986,148135,29966,105857,0,0,177,0,12135,135823,12312,20.22884531,71.45981706,0,0,0.119485604,0,8.191852027,91.68866237,8.311337631,148394.4814,1655.393823
157,7987,Hellenic Hill I,Private,100/GPOD,6,Jamaica Plain,17.69531095,"20 Anson St, Jamaica Plain, MA",Conservation Protection Subdistrict,Urban Wilds & Natural Areas,NULL,Private,N, , , ,0,0,770821.448,6658.025662, ,INFO_Reallocation From Dept,7987,6658.025662,158,7987,48,743175,26934,770765,119,27053,96.42043943,3.494450319,3.509889525,0.015439207,158,7987,770765,743175,26934,0,0,1,536,119,770109,656,96.42043943,3.494450319,0,0,0.000129741,0.0695413,0.015439207,99.91488975,0.085110248,770821.4509,6658.025662
158,7988,Back of the Hill Urban Wild,City of Boston,A97,6,Jamaica Plain,3.71620564,"120 Woodhaven St, Mattapan, MA",Open Space District,Urban Wilds & Natural Areas,BCC,BPRD,X,X, , ,0,0,161880.7974,2635.591963, ,PARK_Maintenance_Ground Maintenance,7988,2635.591963,159,7988,0,155335,3022,161881,3288,6310,95.95628888,1.866803393,3.897925019,2.031121626,159,7988,161881,155335,3022,0,0,236,0,3288,158357,3524,95.95628888,1.866803393,0,0,0.145786102,0,2.031121626,97.82309227,2.176907729,161880.7964,2635.591963
